#;Data;Parcela;Juros;Amortizacao;Saldo
1;2025-02-10;974.87;250.00;724.87;9275.13
2;2025-03-10;974.87;231.88;742.99;8532.14
3;2025-04-10;974.87;213.30;761.57;7770.57
4;2025-05-10;974.87;194.26;780.61;6989.96
5;2025-06-10;974.87;174.75;800.12;6189.84
6;2025-07-10;974.87;154.75;820.12;5369.72
7;2025-08-10;974.87;134.24;840.63;4529.09
8;2025-09-10;974.87;113.23;861.64;3667.45
9;2025-10-10;974.87;91.69;883.18;2784.27
10;2025-11-10;974.87;69.61;905.26;1879.01
11;2025-12-10;974.87;46.98;927.89;951.12
12;2026-01-10;974.90;23.78;951.12;0.00
