#;Data;Parcela;Juros;Amortizacao;Saldo
1;2025-02-10;814.57;264.00;550.57;11449.43
2;2025-03-10;814.57;251.89;562.68;10886.75
3;2025-04-10;814.57;239.51;575.06;10311.69
4;2025-05-10;814.57;226.86;587.71;9723.98
5;2025-06-10;814.57;213.93;600.64;9123.34
6;2025-07-10;814.57;200.71;613.86;8509.48
7;2025-08-10;814.57;187.21;627.36;7882.12
8;2025-09-10;814.57;173.41;641.16;7240.96
9;2025-10-10;814.57;159.30;655.27;6585.69
10;2025-11-10;814.57;144.89;669.68;5916.01
11;2025-12-10;814.57;130.15;684.42;5231.59
12;2026-01-10;814.57;115.09;699.48;4532.11
13;2026-02-10;814.57;99.71;714.86;3817.25
14;2026-03-10;814.57;83.98;730.59;3086.66
15;2026-04-10;814.57;67.91;746.66;2340.00
16;2026-05-10;814.57;51.48;763.09;1576.91
17;2026-06-10;814.57;34.69;779.88;797.03
18;2026-07-10;814.56;17.53;797.03;0.00
