#;PMT;Juros;Amortizacao;Saldo;Data
1;9333.33;1000;8333.33;91666.67;
2;9250;916.67;8333.33;83333.34;
3;9166.66;833.33;8333.33;75000.01;
4;9083.33;750;8333.33;66666.68;
5;9000;666.67;8333.33;58333.35;
6;8916.66;583.33;8333.33;50000.02;
7;8833.33;500;8333.33;41666.69;
8;8750;416.67;8333.33;33333.36;
9;8666.66;333.33;8333.33;25000.03;
10;8583.33;250;8333.33;16666.7;
11;8500;166.67;8333.33;8333.37;
12;8416.7;83.33;8333.37;0;
# totals.totalPaid;
# totals.totalInterest;
# feesT0;
# motorVersion;
# calculationId;
